project,true_star,true_watcher,true_committer,true_community,true_pdp
1693486,3,1,1,1,TRUE
1697703,20,18,8,8,TRUE
16989267,0,0,4,20,TRUE
170216,12,9,3,3,TRUE
17021948,8,6,3,4,FALSE
1702325,1,2,2,2,TRUE
17029709,1,0,1,1,TRUE
1703966,25,18,4,5,TRUE
17049028,30,9,2,2,TRUE
170897,4,1,3,3,TRUE
17102863,0,0,3,11,TRUE
17126941,0,0,1,2,TRUE
17130951,1,0,1,1,FALSE
171527,29,17,4,4,TRUE
171704,6,9,3,3,FALSE
1717943,12,9,1,1,FALSE
172744,1,0,1,1,TRUE
1729496,3,5,1,1,TRUE
1729502,3,0,1,1,TRUE
1732378,2,2,2,2,TRUE
1734623,3,2,1,1,TRUE
17422814,0,0,1,1,TRUE
174480,97,89,28,34,TRUE
17457382,0,0,2,2,TRUE
175290,11,3,2,3,TRUE
17530,3395,3559,67,246,TRUE
17536191,2,1,2,2,FALSE
17566447,36,1,10,12,TRUE
17569001,1,0,1,1,FALSE
1757171,17,10,4,4,FALSE
17577014,0,0,4,4,TRUE
17578622,0,0,2,2,TRUE
17636724,1,0,1,1,TRUE
17637430,0,0,2,2,TRUE
176622,192,142,26,41,TRUE
176680,5,5,16,16,TRUE
17674385,0,0,1,17,TRUE
17685177,0,0,2,2,FALSE
17685456,0,0,2,2,FALSE
17685883,0,0,2,2,FALSE
177361,64,53,7,9,TRUE
17736835,0,0,2,3,FALSE
17741096,0,0,2,2,TRUE
177507,1,0,3,50,TRUE
17769037,1,0,1,1,FALSE
17771600,0,0,1,1,FALSE
17776852,0,0,3,3,FALSE
177808,4,0,1,1,TRUE
17800559,0,0,2,2,FALSE
17807374,0,0,1,1,FALSE
17812257,0,0,1,1,FALSE
1781287,5,2,1,1,TRUE
178202,2,0,1,2,TRUE
17820431,0,0,1,1,FALSE
17835,2,3,2,3,FALSE
178481,9,5,2,2,TRUE
1785882,6,3,1,1,TRUE
178757,1,0,1,1,TRUE
1790086,2,1,1,1,TRUE
179115,185,177,6,17,TRUE
17914605,0,0,3,3,FALSE
179380,10,6,4,4,FALSE
179425,22,17,4,6,TRUE
1794499,0,1,4,4,TRUE
179452,11,8,3,3,TRUE
17946875,1,0,2,3,FALSE
179523,0,1,2,2,FALSE
17994633,0,0,2,3,FALSE
180037,80,63,11,31,TRUE
18022128,0,0,1,1,FALSE
18022130,0,0,1,1,FALSE
18022145,0,0,1,1,FALSE
18022209,0,0,1,1,FALSE
1802554,2,0,1,1,TRUE
18033521,0,0,1,1,FALSE
18033524,0,0,1,1,TRUE
18033538,0,0,1,1,TRUE
18033547,0,0,1,1,TRUE
180498,13,3,7,7,TRUE
18059719,0,0,2,2,TRUE
1808105,4,3,2,2,FALSE
18095,66,75,37,48,TRUE
1814571,15,15,8,10,TRUE
181571,4,1,2,2,TRUE
1816151,14,12,2,2,TRUE
18193046,1,0,1,1,TRUE
1821555,2,2,1,2,TRUE
1823764,160,141,5,11,TRUE
1824771,4,6,1,1,TRUE
182655,50,37,18,21,TRUE
1829403,3,2,1,1,TRUE
18302678,0,0,2,2,TRUE
183124,92,74,4,5,TRUE
18319089,0,0,3,3,FALSE
18331803,1,1,2,2,TRUE
183484,14,11,4,4,TRUE
183566,4,1,2,2,TRUE
1837,3,2,2,2,TRUE
1837536,1617,342,24,118,TRUE
1838490,10,6,2,2,TRUE
1839906,1,1,1,1,TRUE
1840915,1,0,2,2,TRUE
1843045,54,51,7,12,TRUE
1843566,5,3,1,1,TRUE
184421,2,2,1,1,TRUE
1845706,33,23,53,61,FALSE
1848907,7,4,10,13,TRUE
184983,54,28,2,2,TRUE
18504165,1,0,7,29,TRUE
1851226,3,2,2,2,TRUE
1852240,8,6,1,1,TRUE
1852759,5,2,1,1,TRUE
1852862,3,0,2,2,TRUE
18530961,0,0,1,1,FALSE
1853461,2,3,2,3,TRUE
1853615,1,0,1,1,TRUE
185407,25,18,4,4,TRUE
1854657,7,2,2,3,FALSE
1857952,0,0,1,1,FALSE
1859759,5,3,1,1,FALSE
1860782,0,0,1,1,TRUE
